Subject,Course,Room,Class Day(s),Class Time,Professor,Duration
COMSC, 72000-1,Brook W 902,TF,12:00 PM,Welner Rachel Lauren,100 mins
COMSC, 72000-2,Brook E E102,WF,9:00 AM,Eng Nancy,100 mins
COMSC, 72400-1,Brook N N133,W,9:00 AM,Malcolm Taryn Rita,150 mins
MHC, 10000-1,North Bldg 1501,T,10:00 AM,Gillespie Benjamin Ancel,200 mins
MHC, 10000-2,North Bldg 1602,M,10:00 AM,Devany Matthew,200 mins
MHC, 10000-3,North Bldg C103,T,10:00 AM,Neary Janet Eileen,200 mins
MHC, 10000-4,West Bldg W509A,M,10:00 AM,Tomasch Sylvia,200 mins
MHC, 10000-5,East Bldg E631,TH,11:00 AM,Wheeler Dustin Douglass-Jan,200 mins
MHC, 20000-1,North Bldg C103,F,6:00 PM,Neary Janet Eileen,150 mins
MHC, 20000-2,East Bldg E631,TH,5:00 PM,Gillespie Benjamin Ancel,150 mins
MHC, 20000-3,East Bldg E631,M,6:00 PM,Gillespie Benjamin Ancel,150 mins
MLS, 45000-1,Brook E E101,W,8:00 PM,McNair Sean A,150 mins
MLS, 45000-2,Brook E E101,F,7:00 PM,Mataprasad Veronica Indira,150 mins
MLS, 49000-1,Brook E E102,TH,1:00 PM,Schreiner Ryan Peter,200 mins
MLS, 61000-1,Brook E E101,MW,10:00 AM,Feratovic Rusmir,100 mins
MLS, 63000-1,Brook E E101,T,9:00 AM,McNair Sean A,200 mins
MLS, 63200-1,Brook E E102,MF,7:00 PM,Labasin Marc V,100 mins
MLS, 63500-1,Brook E E102,TTH,6:00 PM,Mataprasad Veronica Indira,75 mins
MLS, 64000-1,Brook E E101,MW,12:00 PM,Labasin Marc V,100 mins
MLS, 64400-1,Brook E E104,T,8:00 PM,Mahajan Shahana,150 mins
MLS, 64700-1,Brook E E102,TH,8:00 AM,Mahajan Shahana,200 mins
MLS, 70100-1,Brook W 232,F,11:00 AM,Feratovic Rusmir,150 mins
MLS, 71000-1,Brook W 232,MTH,11:00 AM,Mataprasad Veronica Indira,100 mins
MLS, 72000-1,Brook E E104,TF,8:00 AM,Schreiner Ryan Peter,75 mins
